,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date,Scheme Category,Scheme Sub-category,Regular/Direct,IDCW Scheme,Bonus Option,Reinvestment Scheme,Benchmark
73,111570,INF194K01300,INF194K01318,BANDHAN ELSS Tax Saver Fund - Regular Plan - IDCW,30.33,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
74,119351,INF761K01884,-,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,173.54,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
75,119352,INF761K01876,INF761K01868,BANK OF INDIA ELSS Tax Saver -Direct Plan-IDCW,69.31,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
76,111709,INF761K01157,-,BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth,161.64,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
77,111711,INF761K01132,INF761K01140,BANK OF INDIA ELSS Tax Saver -ECO Plan-IDCW,26.83,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
78,111710,INF761K01181,-,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,149.55,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
79,111708,INF761K01165,INF761K01173,BANK OF INDIA ELSS Tax Saver -Regular Plan-IDCW,28.81,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
80,150159,INF251K01HF3,-,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,98.5725,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
81,150158,INF251K01HH9,INF251K01HG1,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - IDCW Option,26.6462,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
82,150156,INF251K01985,-,BARODA BNP PARIBAS ELSS Tax Saver Fund - Regular - Growth Option,87.7733,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
83,150157,INF251K01AA9,INF251K01993,BARODA BNP PARIBAS ELSS Tax Saver Fund- Regular - IDCW Option,21.0725,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
84,118285,INF760K01EL8,-,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,178.68,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
85,118286,INF760K01EJ2,INF760K01EK0,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - IDCW (Payout),72.88,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
86,111722,INF760K01100,-,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,160.43,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
87,100593,INF760K01084,INF760K01092,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),45.14,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
88,119242,INF740K01OK1,-,DSP ELSS Tax Saver Fund - Direct Plan - Growth,144.348,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
89,119241,INF740K01OL9,INF740K01OM7,DSP ELSS Tax Saver Fund - Direct Plan - IDCW,88.311,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
90,104772,INF740K01185,-,DSP ELSS Tax Saver Fund - Regular Plan - Growth,130.342,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
91,104773,INF740K01169,INF740K01177,DSP ELSS Tax Saver Fund - Regular Plan - IDCW,23.467,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
92,118619,INF754K01BX2,INF754K01BY0,Edelweiss ELSS Tax Saver Fund - Direct Plan - IDCW Option,40.16,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
93,118620,INF754K01CA8,-,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,118.76,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
94,111638,INF754K01517,-,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,100.91,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
95,111639,INF754K01525,INF754K01541,Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option,27.01,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
96,118540,INF090I01JS8,-,Franklin India ELSS Tax Saver Fund - Direct - Growth,1523.2792,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
97,118541,INF090I01JT6,INF090I01JU4,Franklin India ELSS Tax Saver Fund - Direct - IDCW,71.7925,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
98,100525,INF090I01783,INF090I01791,Franklin India ELSS Tax Saver Fund - IDCW,62.0704,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
99,100526,INF090I01775,-,Franklin India ELSS Tax Saver Fund-Growth,1369.4164,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
100,141807,INF666M01DL5,-,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Dividend Option,20.34,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
101,141808,INF666M01DK7,-,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,20.36,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
102,141810,INF666M01DO9,-,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout),18.03,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
103,141862,INF666M01DN1,-,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)-Regular Plan-Growth Option,18.03,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
104,119060,INF179K01YS4,-,HDFC ELSS Tax saver - Growth Option - Direct Plan,1402.979,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
105,101979,INF179K01BB8,-,HDFC ELSS Tax saver - Growth Plan,1301.69,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
106,119059,INF179K01YQ8,INF179K01YR6,HDFC ELSS Tax saver - IDCW Option - Direct Plan,94.069,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
107,101980,INF179K01AZ9,INF179K01BA0,HDFC ELSS Tax saver - IDCW Plan,69.57,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
